retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time,matched_rows
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,10,9941fd0f79db4bdd44e862b5285c70a4,wasBornIn_0,0.059823471722785224,3059,2,33388,3,0.183426,1997.386073880353
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,11,a1a7d83ab6da3e305db33d3a57884800,diedIn_0,0.0013076168682576005,3059,2,321,3,0.007684,0.41974501471068976
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,12,e975eca5dd59d730cf95f901cc50127a,wasBornIn_0,0.41320693036940176,3059,2,128549,3,0.510232,53117.33769205623
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,13,24e7b1845d84d31b88fc47993490a8ea,isLocatedIn_1,0.28604118993135014,3059,2,10228,3,0.065128,2925.629290617849
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,14,8d8151df82a5c02ac854167b392fdfd7,isLocatedIn_0,0.02680614579928081,3059,2,14350,3,0.034189,384.66819221967967
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,15,9a2ae39b29aadb1f56c643de1a502ddc,isLocatedIn_0,0.03922850604772801,3059,2,52169,3,0.082511,2046.5119320039228
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,16,c68faa8687f80db18e7d4a8000ccc610,wasBornIn_0,0.09284079764628964,3059,2,74006,3,0.243568,6870.77607061131
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,17,0ca740b9f8614ad0b259d84a256afdec,livesIn_0,0.002288329519450801,3059,2,1924,3,0.018847,4.4027459954233406
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,18,1c0c548058cdd8b63466fcb360e5619c,isLocatedIn_1,0.07714939522719844,3059,2,4918,3,0.024742,379.4207257273619
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,19,6e3f81d7fe13429b3effe587483bb3c5,wasBornIn_0,0.031055900621118012,3059,2,19433,3,0.092268,603.5093167701863
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,20,195643c39d1fc78880ae849c8df6968d,isLocatedIn_0,0.07453416149068323,3059,2,6352,3,0.038215,473.44099378881987
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,21,df3eb464a74b9cb77fb098c3d76e4a1e,wasBornIn_0,0.012749264465511605,3059,2,3912,3,0.031917,49.8751225890814
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,22,4c126ece95e1057d7666efa819d355d1,diedIn_0,0.32919254658385094,3059,2,1842138,3,2.090423,606418.099378882
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,23,52be2b0321fb6c5262c25e0604d23e4a,wasBornIn_0,0.004249754821837201,3059,2,530,3,0.010259,2.2523700555737167
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,24,df4ddd9d27427d8c89437b8e5f309b09,hasCapital_0,0.0013076168682576005,3059,2,68807,3,0.053493,89.97319385420072
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,25,6a3b352c93e25b69e0267511b0a55724,diedIn_0,0.016999019287348805,3059,2,13417,3,0.058362,228.07584177835892
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,26,e990ae08d59c54229773606a83a0d33e,isLocatedIn_0,0.3115397188623733,3059,2,34961,3,0.08412,10891.740111147434
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,27,fd641eb424fcd63965d918d89121a254,diedIn_0,0.003922850604772802,3059,2,1086,3,0.012127,4.260215756783262
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,28,150698848b2a569521e0c826454f1e8b,livesIn_0,0.013403072899640406,3059,2,1039,3,0.014414,13.925792742726381
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,30,29,ab86198bca3a40ae6fd699cd35a65086,isLocatedIn_1,0.005230467473030402,3059,2,147,3,0.003922,0.7688787185354691
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,200,0,6636d0b4073a1c960d0f9aeb5bf958d4,isLocatedIn_0,0.3955541026479242,3059,2,15233,3,0.005357,6025.475645635829
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,200,1,76e7b724cc8848d11537173ca1879a67,wordnet_county_108546183,0.16247139588100687,3059,2,521,3,0.003101,84.64759725400458
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,200,2,7951f85efad8029deebf604e432b582e,wasBornIn_0,0.006538084341288003,3059,2,1265,3,0.003086,8.270676691729323
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,200,3,574417223ee3c780e07520ff553d5a42,isLocatedIn_0,0.04642039882314482,3059,2,21261,11,0.003775,986.944099378882
